agency,city,fiscal_year,fares_pct,government_pct,other_pct,farebox_recovery_pct
MTA,New York,2025,26.2,50.5,23.3,26.3
TfL,London,2024/25,57.2,23.5,19.3,63.2
MTR,Hong Kong,2024,66.6,0.0,33.4,150.2
