Topic,MCB3_Resolutions,MCB3_Pct,Complaints_311,Pct_311
Liquor License / SLA,3449,48.3,0,0.0
Transportation & Streets,520,7.3,72504,19.2
Parks & Open Space,374,5.2,10185,2.7
Housing & Zoning,369,5.2,54112,14.3
Public Safety,292,4.1,168712,44.7
Environment & Waterfront,237,3.3,50837,13.5
City Planning,154,2.2,0,0.0
Budget & Funding,94,1.3,0,0.0
Landmarks & Historic Preservation,84,1.2,0,0.0
Education & Schools,79,1.1,0,0.0
