pidx,Year,Patient services,Claim lines,Paid (dollars),YoY growth (percent)
15431,2020,95,1810,82668,
15431,2021,346,9103,426629,416.1
15431,2022,333,8721,474699,11.3
15431,2023,333,9167,475242,0.1
15431,2024,389,9697,557173,17.2
16729,2019,782,1071,83019,
16729,2020,1290,1593,115218,38.8
16729,2021,5881,7271,428826,272.2
16729,2022,9560,12105,428600,-0.1
16729,2023,10310,13231,424168,-1.0
16729,2024,3522,4504,265442,-37.4
54329,2021,16,66,3190,
54329,2022,296,835,55087,1627.1
54329,2023,147,421,19856,-64.0
54329,2024,198,453,29363,47.9
33408,2023,100,298,49001,
33408,2024,716,2257,372822,660.9
2677,2019,1188,2063,655605,
2677,2020,5532,11218,3679550,461.2
2677,2021,5804,12221,4307918,17.1
2677,2022,6146,12062,4574197,6.2
2677,2023,6114,10790,4317893,-5.6
2677,2024,2833,4058,1687878,-60.9
18788,2019,169,187,52500,
18788,2022,509,868,145106,
18788,2023,2157,3189,692993,377.6
18788,2024,1432,1779,522119,-24.7
35614,2020,436,459,22484,
35614,2021,1677,1710,62662,178.7
35614,2022,2472,2541,72685,16.0
35614,2023,4364,4448,119331,64.2
35614,2024,3189,3246,84979,-28.8
27735,2018,188,213,9161,
27735,2019,1365,1724,53681,486.0
27735,2020,2665,3229,102274,90.5
27735,2021,4082,5021,143143,40.0
27735,2022,4407,5391,153490,7.2
27735,2023,3811,4300,137570,-10.4
27735,2024,1771,1875,47936,-65.2
5389,2019,593,8377,375165,
5389,2020,1339,18720,554996,47.9
5389,2021,1415,20003,688779,24.1
5389,2022,2137,32475,1743730,153.2
5389,2023,3061,47282,2898235,66.2
5389,2024,2944,42987,2731150,-5.8
24000,2019,102,126,3122,
24000,2020,3298,3903,97778,3032.3
24000,2021,5157,5885,178762,82.8
24000,2022,5604,6326,228186,27.6
24000,2023,5537,5800,212783,-6.8
24000,2024,4090,4517,157948,-25.8
55155,2023,154,320,34865,
55155,2024,332,620,67259,92.9
54260,2020,142,205,3346,
54260,2021,1120,1370,22388,569.0
54260,2022,1628,2080,38418,71.6
54260,2023,1610,1849,30386,-20.9
54260,2024,911,1017,13392,-55.9
16926,2018,4879,8551,177010,
16926,2019,9386,15726,361148,104.0
16926,2020,5892,9998,200788,-44.4
16926,2021,7566,13376,249787,24.4
16926,2022,6702,12050,267540,7.1
16926,2023,5792,11181,242689,-9.3
16926,2024,5058,9777,211749,-12.7
47060,2019,565,566,12581,
47060,2020,753,758,21326,69.5
47060,2021,1096,1106,33236,55.8
47060,2022,1062,1067,31878,-4.1
47060,2023,1347,1355,44198,38.6
47060,2024,847,850,25798,-41.6
44697,2019,83,170,15652,
44697,2020,237,550,51583,229.6
44697,2021,211,546,50605,-1.9
44697,2022,239,620,57148,12.9
44697,2023,101,238,21366,-62.6
26229,2024,171,2573,731493,
25177,2018,29,29,1015,
25177,2019,1831,1832,63612,6167.2
25177,2020,1871,1874,80483,26.5
25177,2021,3655,3696,188002,133.6
25177,2022,3172,3296,189694,0.9
25177,2023,2683,2689,166074,-12.5
25177,2024,2000,2000,108008,-35.0
17253,2021,1522,6007,250648,
17253,2022,2036,10976,451920,80.3
17253,2023,2236,12287,513718,13.7
17253,2024,1562,8805,430779,-16.1
37976,2020,170,866,68030,
37976,2021,491,2813,239709,252.4
20572,2021,142,4301,201609,
20572,2022,202,5755,285669,41.7
20572,2023,238,6883,335552,17.5
20572,2024,243,6548,365936,9.1
30399,2018,1222,1226,32706,
30399,2019,2587,2646,73506,124.7
30399,2020,3113,3212,74372,1.2
30399,2021,4758,4856,109008,46.6
30399,2022,4178,4228,92642,-15.0
30399,2023,4179,4251,93526,1.0
30399,2024,2154,2277,52660,-43.7
12227,2018,10678,16168,316325,
12227,2019,13886,15611,525181,66.0
12227,2020,9836,11125,344978,-34.3
12227,2021,13457,15044,455944,32.2
12227,2022,13433,15167,580591,27.3
12227,2023,9221,9784,356279,-38.6
12227,2024,8709,10359,386422,8.5
52670,2022,97,192,18595,
52670,2023,311,706,62060,233.7
52670,2024,191,396,38623,-37.8
35891,2018,152,285,2530,
35891,2019,115,278,3031,19.8
35891,2020,343,793,18762,519.1
35891,2021,1558,3803,141652,655.0
35891,2022,1907,3939,164296,16.0
35891,2023,386,785,25064,-84.7
37016,2021,154,399,26207,
37016,2022,745,1832,120110,358.3
37016,2023,504,1256,81317,-32.3
37016,2024,479,1184,100722,23.9
7802,2020,65,67,271814,
7802,2021,435,440,1836333,575.6
7802,2022,368,371,1610285,-12.3
7802,2023,473,535,1893347,17.6
7802,2024,15,15,55171,-97.1
8585,2018,13734,13934,840821,
8585,2019,12570,12771,754193,-10.3
8585,2020,10108,10232,641299,-15.0
8585,2021,17238,18143,1190331,85.6
8585,2022,21739,22055,1443733,21.3
8585,2023,1842,1882,122865,-91.5
19703,2020,51,87,66180,
19703,2021,285,1135,371508,461.4
19703,2022,182,520,283939,-23.6
19703,2023,248,281,336819,18.6
19703,2024,154,176,230477,-31.6
28897,2018,467,470,12576,
28897,2019,1657,1677,17198,36.7
28897,2020,2857,2938,28886,68.0
28897,2021,4229,4341,40916,41.6
28897,2022,8778,9146,147181,259.7
28897,2023,8283,8776,280662,90.7
28897,2024,5942,6305,63091,-77.5
15050,2021,15,91,12760,
15050,2022,211,4650,343735,2593.9
15050,2023,398,9070,771726,124.5
15050,2024,531,8930,976391,26.5
52171,2024,146,580,122767,
41305,2018,2734,3159,103158,
41305,2019,2606,3240,100186,-2.9
41305,2020,1386,1394,29158,-70.9
41305,2021,515,515,12831,-56.0
1473,2018,5022,70574,2629548,
1473,2019,7586,104445,5657260,115.1
1473,2020,8197,111932,4145646,-26.7
1473,2021,7565,111738,4912296,18.5
1473,2022,6188,91833,6462603,31.6
1473,2023,6065,85757,5989815,-7.3
1473,2024,5753,75573,5131390,-14.3
51675,2018,44,75,3983,
51675,2019,247,339,16495,314.1
51675,2020,389,528,26599,61.3
51675,2021,418,594,26053,-2.1
51675,2022,353,441,12451,-52.2
51675,2023,452,638,14335,15.1
51675,2024,407,558,26997,88.3
4392,2018,6361,6781,1153053,
4392,2019,9333,10254,1430274,24.0
4392,2020,17929,20446,1974261,38.0
4392,2021,19679,21576,2076886,5.2
4392,2022,14295,15647,1487577,-28.4
4392,2023,12632,13456,1426496,-4.1
4392,2024,16136,17548,1886531,32.2
12998,2018,29242,30388,1251144,
12998,2019,18287,19334,1001422,-20.0
12998,2020,6451,6566,420098,-58.0
12998,2021,57,57,5098,-98.8
41824,2019,59,90,1111,
41824,2021,513,805,23523,
41824,2022,1266,2010,66023,180.7
41824,2023,1600,2506,80883,22.5
41824,2024,1338,2458,65170,-19.4
48815,2021,661,723,44840,
48815,2022,656,690,38447,-14.3
48815,2023,747,788,39800,3.5
48815,2024,541,580,28477,-28.4
51637,2019,16,16,1221,
51637,2020,153,157,12913,957.7
51637,2021,393,425,34556,167.6
51637,2022,502,542,31401,-9.1
51637,2023,513,523,26505,-15.6
51637,2024,451,467,20662,-22.0
33938,2019,71,74,5491,
33938,2020,379,392,47788,770.4
33938,2021,779,799,123920,159.3
33938,2022,561,578,85817,-30.7
33938,2023,534,547,74169,-13.6
33938,2024,501,512,69565,-6.2
55077,2023,183,816,102488,
3899,2019,43,43,101209,
3899,2020,461,478,1256361,1141.4
3899,2021,552,567,1705130,35.7
3899,2022,712,745,2314270,35.7
3899,2023,997,1058,3795192,64.0
3899,2024,920,1003,3813382,0.5
38448,2019,242,260,14505,
38448,2020,460,490,24876,71.5
38448,2021,441,456,21172,-14.9
38448,2022,928,980,37295,76.2
38448,2023,1608,1729,81894,119.6
38448,2024,1592,1726,118883,45.2
19725,2020,614,733,49864,
19725,2021,4038,4687,351823,605.6
19725,2022,5473,6375,423981,20.5
19725,2023,3515,4457,324356,-23.5
19725,2024,1695,1930,136066,-58.1
24185,2019,48,48,388,
24185,2020,1545,1700,24988,6345.2
24185,2021,11525,14897,212928,752.1
24185,2022,11799,15027,274913,29.1
24185,2023,9283,11463,190486,-30.7
24185,2024,6797,8864,162482,-14.7
17216,2019,12,12,0,
17216,2020,2509,3023,46724,
17216,2021,23221,30103,466011,897.4
17216,2022,19772,24170,395697,-15.1
17216,2023,18880,24111,429501,8.5
17216,2024,14932,18103,314411,-26.8
55409,2023,1427,1578,57078,
55409,2024,1337,1457,43470,-23.8
55096,2021,210,410,10064,
55096,2022,300,832,22348,122.1
55096,2023,548,1372,45732,104.6
55096,2024,769,1847,24272,-46.9
20024,2021,12976,15942,298398,
20024,2022,16952,19884,385228,29.1
20024,2023,15523,18581,325137,-15.6
20024,2024,10934,12757,244525,-24.8
53756,2021,30,59,0,
53756,2022,196,342,23606,
53756,2023,227,539,46913,98.7
53756,2024,212,428,40899,-12.8
40893,2024,82,1083,252052,
27130,2022,45,45,493,
27130,2023,18043,18317,94652,19086.0
27130,2024,80088,80469,584637,517.7
45223,2022,4417,4488,106161,
45223,2023,3546,3648,83622,-21.2
25529,2021,742,971,24928,
25529,2022,6808,8491,196242,687.2
25529,2023,9522,11680,261194,33.1
25529,2024,9484,11079,292575,12.0
53705,2021,50,90,6787,
53705,2022,386,633,54906,709.0
53705,2023,294,567,44498,-19.0
53705,2024,25,62,5586,-87.4
52357,2021,2222,2691,40417,
52357,2022,2616,2710,37979,-6.0
52357,2023,2167,2744,43131,13.6
35673,2021,165,165,44059,
35673,2022,331,331,88971,101.9
35673,2023,453,454,127997,43.9
35673,2024,463,463,99430,-22.3
50696,2022,55,400,52167,
50696,2023,102,663,82418,58.0
37159,2024,675,2328,325290,
38660,2024,48,49,294155,
50875,2021,118,118,4300,
50875,2022,816,857,44207,928.1
50875,2023,755,769,38090,-13.8
50875,2024,991,1125,46648,22.5
10095,2021,47,780,34421,
10095,2022,681,17753,869238,2425.3
10095,2023,1045,29408,1411696,62.4
10095,2024,1193,31811,1670365,18.3
41058,2024,49,1119,249193,
25202,2022,114,1969,508361,
25202,2023,55,1091,255034,-49.8
25202,2024,52,212,31944,-87.5
41033,2023,25,107,7526,
41033,2024,876,5422,242277,3119.1
20806,2020,2264,2669,87838,
20806,2021,6316,7105,247154,181.4
20806,2022,6390,7192,313435,26.8
20806,2023,6887,7650,333556,6.4
20806,2024,4213,4657,180929,-45.8
25941,2020,792,814,37458,
25941,2021,2703,2869,204893,447.0
25941,2022,2894,3123,202518,-1.2
25941,2023,2426,2602,187903,-7.2
25941,2024,2493,2662,117984,-37.2
18557,2022,109,2839,116200,
18557,2023,462,11653,522022,349.2
18557,2024,642,17460,806556,54.5
21676,2020,292,300,4326,
21676,2021,7966,8979,212434,4810.3
21676,2022,10685,11544,303110,42.7
21676,2023,9954,10464,265908,-12.3
21676,2024,9941,10451,291006,9.4
38470,2020,6151,7621,92282,
38470,2021,18207,24398,205879,123.1
51755,2021,155,2840,126260,
28221,2020,243,257,9087,
28221,2021,1472,1761,81613,798.2
28221,2022,2784,3143,149021,82.6
28221,2023,2618,3034,172664,15.9
28221,2024,3158,3712,211029,22.2
16665,2020,811,844,37165,
16665,2021,4557,5239,192571,418.1
16665,2022,5443,6404,251128,30.4
16665,2023,11218,18871,603189,140.2
16665,2024,13539,28153,671572,11.3
24461,2019,137,149,6539,
24461,2020,711,833,55424,747.6
24461,2021,1304,1436,107700,94.3
24461,2022,2828,3050,235721,118.9
24461,2023,3158,3435,253142,7.4
24461,2024,2388,2698,188344,-25.6
25135,2020,1286,1952,89154,
25135,2021,5815,8371,295248,231.2
25135,2022,8034,10529,353085,19.6
25135,2023,1609,2058,62777,-82.2
50722,2019,1060,1241,31275,
50722,2020,2527,3078,76004,143.0
50722,2023,1689,1991,27100,
26943,2023,35,798,58866,
26943,2024,358,7510,632183,973.9
24290,2020,145,161,16090,
24290,2021,1305,1764,159777,893.0
24290,2022,1476,2066,183213,14.7
24290,2023,2619,4161,342635,87.0
24290,2024,1332,2000,156243,-54.4
40474,2023,122,245,175611,
40474,2024,101,192,83785,-52.3
12396,2021,556,678,33342,
12396,2022,4662,4956,640556,1821.2
12396,2023,7205,7508,1023458,59.8
12396,2024,9318,9538,1203628,17.6
30369,2022,1687,1720,126976,
30369,2023,3636,3734,275237,116.8
30369,2024,2117,2143,127354,-53.7
41234,2024,62,1652,246382,
8025,2022,23210,36350,1293457,
8025,2023,29904,49235,1943260,50.2
8025,2024,33502,54529,2221355,14.3
53984,2023,599,1106,25467,
53984,2024,1477,2658,84343,231.2
40168,2024,56,58,264825,
53502,2024,50,525,113079,
11552,2023,19176,19341,1144283,
11552,2024,34029,34346,2108567,84.3
31944,2023,1937,2755,85839,
31944,2024,8370,10929,382911,346.1
45086,2023,1615,1720,47766,
45086,2024,2318,2787,143754,201.0
35993,2024,551,2937,352797,
30932,2023,13,196,13643,
30932,2024,327,5925,493012,3513.6
45856,2022,232,285,21655,
45856,2023,820,909,73278,238.4
45856,2024,794,893,87084,18.8
37739,2022,1380,3282,167344,
37739,2023,2277,3628,145127,-13.3
38980,2023,385,1360,49537,
38980,2024,1332,6177,237790,380.0
54379,2023,278,279,15515,
54379,2024,913,914,91607,490.4
47353,2023,1357,1397,28966,
47353,2024,7734,8103,136955,372.8
47878,2022,849,1732,72369,
47878,2023,998,2124,67912,-6.2
47878,2024,4825,5272,20210,-70.2
30787,2022,47,133,521,
30787,2023,991,2051,194343,37171.9
30787,2024,1640,2425,317919,63.6
30992,2023,401,403,137536,
30992,2024,894,894,366950,166.8
41918,2024,174,4163,235234,
38887,2023,796,1273,29398,
38887,2024,7256,11477,259999,784.4
32117,2021,23,29,381,
32117,2022,3879,5945,84679,22129.5
32117,2023,6629,9534,162784,92.2
32117,2024,8761,12593,214455,31.7
38210,2023,545,5132,0,
38210,2024,2551,23379,303105,
44617,2021,656,879,11946,
44617,2022,3379,4206,66224,454.4
44617,2023,3337,4986,84596,27.7
44617,2024,1625,2165,34759,-58.9
43445,2021,91,93,645,
43445,2022,4627,5470,95751,14750.0
43445,2023,2614,2908,38759,-59.5
43445,2024,3676,4995,77951,101.1
34918,2022,3569,7640,131834,
34918,2023,2806,6383,96547,-26.8
34918,2024,3260,6703,152352,57.8
29705,2024,7376,8650,555840,
33232,2024,8184,13917,427385,
43989,2018,62,123,193,
43989,2019,51,121,73,-62.1
43989,2020,466,866,20327,27646.4
43989,2021,1875,4260,134269,560.5
43989,2022,419,812,50764,-62.2
36837,2018,1463,1648,39202,
36837,2019,1879,2093,51323,30.9
36837,2020,1387,1792,48529,-5.4
36837,2021,1560,1712,48214,-0.6
36837,2022,1437,1526,47366,-1.8
36837,2023,1737,1792,60196,27.1
36837,2024,1202,1348,37807,-37.2
13019,2018,14274,15368,302201,
13019,2019,13080,14396,246741,-18.4
13019,2020,9538,11061,163537,-33.7
13019,2021,12082,13387,247987,51.6
13019,2022,22474,25785,588495,137.3
13019,2023,26643,31235,685012,16.4
13019,2024,16650,18563,436315,-36.3
30282,2018,2914,2931,61509,
30282,2019,2896,2901,112621,83.1
30282,2020,2264,2269,93762,-16.7
30282,2021,2014,2017,83612,-10.8
30282,2022,1793,1794,75569,-9.6
30282,2023,2363,2363,98990,31.0
30282,2024,287,287,6992,-92.9
6825,2018,36379,52017,1052986,
6825,2019,32421,47749,980948,-6.8
6825,2020,25216,37798,854591,-12.9
6825,2021,32756,47900,1129189,32.1
6825,2022,38841,52352,1279672,13.3
6825,2023,33019,40243,956030,-25.3
6825,2024,18307,21215,471985,-50.6
24312,2018,9582,10125,319226,
24312,2019,12399,13010,258581,-19.0
24312,2020,6968,7318,136203,-47.3
24312,2021,6611,6846,127009,-6.8
24312,2023,583,666,2113,
24312,2024,892,946,13010,515.6
8359,2018,2516,3736,1774141,
8359,2019,2666,3485,540454,-69.5
8359,2020,3010,3902,633159,17.2
8359,2021,2614,3559,617826,-2.4
8359,2022,3010,3758,630980,2.1
8359,2023,2865,3598,572845,-9.2
8359,2024,1956,2429,418715,-26.9
13645,2018,2927,2941,151719,
13645,2019,3368,3390,217603,43.4
13645,2020,3047,3052,331141,52.2
13645,2021,4249,4261,465163,40.5
13645,2022,4601,4613,508020,9.2
13645,2023,4142,4157,444683,-12.5
13645,2024,3137,3154,353392,-20.5
48314,2018,807,1228,15907,
48314,2019,1713,2155,29492,85.4
48314,2020,2537,3152,42825,45.2
48314,2021,2699,3482,44576,4.1
48314,2022,1410,1822,23330,-47.7
41267,2018,1640,1642,34470,
41267,2019,1492,1493,33867,-1.7
41267,2020,1710,1714,37635,11.1
41267,2021,1889,1893,45482,20.9
41267,2022,1958,1961,48184,5.9
41267,2023,1795,1797,45216,-6.2
41267,2024,75,79,1095,-97.6
52881,2018,234,336,15741,
52881,2019,389,584,22405,42.3
52881,2020,487,676,27277,21.7
52881,2021,498,621,32311,18.5
52881,2022,258,291,16756,-48.1
52881,2023,30,48,2283,-86.4
52881,2024,27,35,772,-66.2
5640,2018,33080,33084,1595838,
5640,2019,29237,29246,1454666,-8.8
5640,2020,27071,27081,1297147,-10.8
5640,2021,26534,26537,1215558,-6.3
5640,2022,24429,24572,1138244,-6.4
5640,2023,21523,21695,1017612,-10.6
5640,2024,15546,15562,743587,-26.9
40307,2018,1712,1738,36505,
40307,2019,1920,1945,40773,11.7
40307,2020,1638,1655,32367,-20.6
40307,2021,1886,1908,39265,21.3
40307,2022,1829,1833,37416,-4.7
40307,2023,1772,1775,36723,-1.9
40307,2024,1759,1766,39199,6.7
19505,2018,1997,2086,81808,
19505,2019,3804,4039,136091,66.4
19505,2020,5161,5421,173972,27.8
19505,2021,5835,6062,271653,56.1
19505,2022,6975,7336,346573,27.6
19505,2023,6151,6506,276028,-20.4
19505,2024,565,605,29531,-89.3
52999,2019,667,676,872,
52999,2020,212,215,399,-54.2
52999,2021,11097,17695,39826,9880.5
52999,2022,9230,14791,38775,-2.6
52999,2023,6958,10617,19986,-48.5
52999,2024,5830,7951,16952,-15.2
10739,2018,2619,2854,241330,
10739,2019,3243,3656,326776,35.4
10739,2020,3925,4496,442322,35.4
10739,2021,4700,5335,547726,23.8
10739,2022,5443,6265,630632,15.1
10739,2023,5547,6414,715402,13.4
10739,2024,4838,5444,721492,0.9
4438,2018,16949,17062,1767566,
4438,2019,18697,18892,1991214,12.7
4438,2020,17678,17816,1885687,-5.3
4438,2021,21681,21851,1957651,3.8
4438,2022,17230,17441,1505954,-23.1
4438,2023,16538,16799,1392940,-7.5
4438,2024,9176,9379,773300,-44.5
18832,2018,4339,5000,235716,
18832,2019,4672,5296,526467,123.3
18832,2020,3370,3851,424817,-19.3
18832,2021,1652,1969,217716,-48.8
29372,2018,2957,3240,456031,
29372,2019,706,794,113282,-75.2
7278,2018,15853,23171,517976,
7278,2019,19300,29607,968449,87.0
7278,2020,12957,18382,789895,-18.4
7278,2021,15876,24100,1051434,33.1
7278,2022,19516,27801,1211860,15.3
7278,2023,23489,33660,1194944,-1.4
7278,2024,18488,26242,475908,-60.2
8541,2019,248,1028,30224,
8541,2020,922,4881,204556,576.8
8541,2021,1438,16893,886511,333.4
8541,2022,1523,19356,1101164,24.2
8541,2023,1748,26633,1449523,31.6
8541,2024,1435,22774,1358608,-6.3
15634,2018,3995,4062,707280,
15634,2019,5650,5899,363028,-48.7
15634,2020,3466,3588,335553,-7.6
15634,2021,5067,5199,390904,16.5
15634,2022,2087,2131,139807,-64.2
15634,2023,450,465,36943,-73.6
38724,2018,75,83,164247,
38724,2019,67,92,118493,-27.9
38724,2021,75,132,8812,
38724,2023,14,21,1259,
38381,2020,35,142,10724,
38381,2021,208,892,66522,520.3
38381,2022,147,693,49605,-25.4
38381,2023,235,1039,77152,55.5
38381,2024,313,1290,95842,24.2
19390,2018,1062,1172,62315,
19390,2019,1085,1222,67979,9.1
19390,2020,1272,1387,93815,38.0
19390,2021,2713,2952,316566,237.4
19390,2022,3067,3394,375853,18.7
19390,2023,2686,2897,315319,-16.1
19390,2024,1254,1363,99239,-68.5
26600,2019,243,801,54428,
26600,2020,664,2120,232834,327.8
26600,2021,652,1787,155244,-33.3
26600,2022,326,815,188651,21.5
26600,2023,54,139,78209,-58.5
54539,2018,1368,1737,62015,
54539,2019,1104,1397,44056,-29.0
52377,2018,338,345,3762,
52377,2019,469,499,5994,59.3
52377,2020,359,369,5961,-0.5
52377,2021,647,656,16611,178.7
52377,2022,1335,1349,34299,106.5
52377,2023,1252,1268,31919,-6.9
52377,2024,698,712,22821,-28.5
22147,2018,311,4663,195787,
22147,2019,867,10645,698440,256.7
22147,2020,315,3109,121704,-82.6
22147,2021,25,248,9530,-92.2
22147,2022,12,101,9316,-2.2
14710,2018,8862,11785,475596,
14710,2019,8525,12016,485756,2.1
14710,2020,6210,9303,417361,-14.1
14710,2021,6245,9316,415645,-0.4
14710,2022,4374,6427,382247,-8.0
12590,2018,917,1921,97996,
12590,2019,2311,5580,190697,94.6
12590,2020,3533,8282,356869,87.1
12590,2021,5031,10688,472988,32.5
12590,2022,6879,12186,548563,16.0
12590,2023,6603,13496,649058,18.3
12590,2024,4609,11285,512441,-21.0
48571,2018,292,325,4345,
48571,2019,486,554,6679,53.7
48571,2020,542,608,9392,40.6
48571,2021,758,1026,13378,42.4
48571,2022,1859,3183,31253,133.6
48571,2023,1769,2978,43929,40.6
48571,2024,1760,3746,44910,2.2
50195,2018,201,476,39167,
50195,2019,244,586,39971,2.1
50195,2020,195,583,25876,-35.3
50195,2021,137,424,28366,9.6
50195,2022,24,75,5545,-80.5
16290,2018,2295,2513,77333,
16290,2019,7019,7973,153160,98.1
16290,2020,10512,11573,188054,22.8
16290,2021,12553,14124,281354,49.6
16290,2022,18210,20245,411118,46.1
16290,2023,18325,20519,384743,-6.4
16290,2024,14599,16679,335511,-12.8
16047,2018,6907,7514,284458,
16047,2019,8128,9572,382911,34.6
16047,2020,6620,7901,345688,-9.7
16047,2021,5173,6321,285903,-17.3
16047,2022,2877,4237,150083,-47.5
16047,2023,7305,12478,383365,155.4
16047,2024,765,2333,44536,-88.4
44127,2018,3047,3407,28557,
44127,2019,5713,6175,33528,17.4
44127,2020,5266,5549,29971,-10.6
44127,2021,5738,6053,32698,9.1
44127,2022,5593,5965,31851,-2.6
44127,2023,4334,4598,23277,-26.9
44127,2024,2867,3097,23771,2.1
45293,2018,1795,1941,23917,
45293,2019,1838,1964,22734,-4.9
45293,2020,1580,1710,23117,1.7
45293,2021,1382,1465,28325,22.5
45293,2022,1299,1355,29553,4.3
45293,2023,1085,1125,31425,6.3
45293,2024,940,984,29650,-5.6
48331,2018,1430,1444,61023,
48331,2019,1276,1300,57173,-6.3
48331,2020,672,690,31040,-45.7
48331,2021,88,88,4056,-86.9
48331,2024,51,51,2656,
16886,2018,3341,3490,179669,
16886,2019,6313,6571,273447,52.2
16886,2020,6271,6451,241903,-11.5
16886,2021,5306,5579,233339,-3.5
16886,2022,5470,5629,239008,2.4
16886,2023,7208,7458,293574,22.8
16886,2024,6246,6360,256521,-12.6
13051,2018,19802,20072,779128,
13051,2019,16852,17108,632068,-18.9
13051,2020,10326,10532,388881,-38.5
13051,2021,2519,2544,101243,-74.0
13051,2023,2143,2161,96566,
13051,2024,12105,12298,659853,583.3
50226,2018,350,907,21436,
50226,2019,506,1246,23545,9.8
50226,2020,406,1056,21498,-8.7
50226,2021,406,1029,17973,-16.4
50226,2022,401,1093,28721,59.8
50226,2023,286,728,14388,-49.9
50226,2024,170,444,11038,-23.3
134,2018,1801,1891,209033,
134,2019,8251,8654,2139476,923.5
134,2020,55758,62711,10418441,387.0
134,2021,348694,379051,74870534,618.6
134,2022,343579,369674,66699786,-10.9
134,2023,316830,338744,68449711,2.6
134,2024,189013,202731,40701732,-40.5
39510,2018,244,319,12023,
39510,2019,454,1095,14462,20.3
39510,2020,1583,2007,43764,202.6
39510,2021,2299,2773,83791,91.5
39510,2022,912,933,35311,-57.9
39510,2023,2419,2428,75528,113.9
39510,2024,500,502,12052,-84.0
2317,2018,381301,654740,3199842,
2317,2019,513597,875329,4245367,32.7
2317,2020,491333,653298,3878070,-8.7
2317,2021,579492,706966,4394238,13.3
2317,2022,567042,722973,3603573,-18.0
2317,2023,384948,498641,2040597,-43.4
2317,2024,177047,193005,894108,-56.2
15664,2019,724,1326,125874,
15664,2020,2080,4470,424183,237.0
15664,2021,2587,5057,486548,14.7
15664,2022,2545,4372,451856,-7.1
15664,2023,2323,4407,432690,-4.2
15664,2024,293,521,46425,-89.3
19260,2018,1481,1537,92496,
19260,2019,1765,1794,130861,41.5
19260,2020,2313,2367,173568,32.6
19260,2021,2095,2140,129165,-25.6
19260,2022,2707,2777,187677,45.3
19260,2023,5443,5749,428879,128.5
19260,2024,3156,3309,203165,-52.6
45200,2018,1943,2042,39081,
45200,2019,1279,1332,31465,-19.5
45200,2020,717,752,17741,-43.6
45200,2021,975,992,19395,9.3
45200,2022,1006,1016,22420,15.6
45200,2023,1170,1234,29853,33.2
45200,2024,759,866,30188,1.1
39379,2018,115,115,2078,
39379,2019,115,119,2600,25.1
39379,2020,52,52,1511,-41.9
39379,2021,417,429,21346,1312.4
39379,2022,377,388,19630,-8.0
39379,2023,2358,2381,87502,345.8
39379,2024,3611,3690,145104,65.8
30989,2018,3009,3273,19548,
30989,2019,4349,4704,27180,39.0
30989,2020,4703,5242,29964,10.2
30989,2021,5300,6097,80741,169.5
30989,2022,4390,5138,76044,-5.8
30989,2023,5215,5739,118554,55.9
30989,2024,6052,6717,152574,28.7
19660,2018,5890,6618,129106,
19660,2019,6560,7496,191357,48.2
19660,2020,5120,6020,179548,-6.2
19660,2021,4578,5481,185202,3.1
19660,2022,4490,5527,188298,1.7
19660,2023,6106,7513,242373,28.7
19660,2024,6673,8029,178471,-26.4
37741,2020,64,64,2343,
37741,2021,558,558,29290,1149.9
37741,2022,1582,1627,80553,175.0
37741,2023,1821,2065,106953,32.8
37741,2024,1836,2042,93298,-12.8
14004,2018,4158,9305,247271,
14004,2019,3725,8587,9803,-96.0
14004,2020,3189,7890,16729,70.7
14004,2021,3060,7857,2000,-88.0
14004,2022,3163,7723,733890,36601.8
14004,2023,3435,8283,815919,11.2
14004,2024,2099,4649,537283,-34.1
36124,2018,13108,13306,31168,
36124,2019,9696,9784,37782,21.2
36124,2020,3231,3269,47296,25.2
36124,2021,3045,3088,56922,20.4
36124,2022,3657,3697,84947,49.2
36124,2023,10132,10204,58753,-30.8
36124,2024,21079,21288,32482,-44.7
52013,2018,678,842,9175,
52013,2019,643,707,12626,37.6
52013,2020,810,921,17252,36.6
52013,2021,830,938,22477,30.3
52013,2022,891,994,23517,4.6
52013,2023,715,802,19580,-16.7
52013,2024,422,490,19433,-0.8
4244,2018,6245,7737,437170,
4244,2019,8964,11373,677815,55.0
4244,2020,9425,11718,882592,30.2
4244,2021,18204,22427,2511227,184.5
4244,2022,18953,24467,2666787,6.2
4244,2023,17752,21895,2517410,-5.6
4244,2024,13371,16898,2121051,-15.7
52529,2018,1075,1234,61699,
52529,2019,696,1009,36520,-40.8
52529,2020,232,240,12407,-66.0
52529,2021,121,122,5953,-52.0
52529,2022,12,12,585,-90.2
52529,2023,40,42,1559,166.5
52529,2024,37,37,1566,0.4
12282,2018,54,1250,155379,
12282,2020,118,411,271851,
12282,2021,305,418,1035010,280.7
12282,2022,146,199,539891,-47.8
12282,2023,52,68,182533,-66.2
12282,2024,219,304,763418,318.2
15186,2018,230,450,251598,
15186,2019,229,980,244497,-2.8
15186,2020,250,3742,245055,0.2
15186,2021,594,7325,385815,57.4
15186,2022,518,7525,412511,6.9
15186,2023,384,4373,227223,-44.9
15186,2024,225,4344,306181,34.7
40068,2018,5327,5465,198465,
40068,2019,1161,1228,68113,-65.7
30868,2018,1595,1753,13889,
30868,2019,1529,1751,14148,1.9
30868,2020,1397,1539,31094,119.8
30868,2021,3240,3439,123869,298.4
30868,2022,2931,3205,116686,-5.8
30868,2023,3120,3405,133245,14.2
