State,Providers,Total paid (dollars),Top 1 percent share (percent),Top 10 percent share (percent)
NY,57967,144411237131.0,74.0,96.0
CA,49567,129450312639.0,48.0,87.0
TX,29539,56157732766.0,42.0,84.0
