Year,9th Street Vision Care Inc,Family Eye Care Ophthalmology PC,Flatbush Eye Care Inc,Graham Eye Care LLC,Harlem Eye Care Inc,Parkslope Eye Care Inc
2018,767485,1411588,0,0,45371,0
2019,232450,1280524,0,1704,419840,0
2020,111637,1259603,0,1042720,1497844,2562
2021,106527,1267507,0,1725241,1896044,326351
2022,153148,1103026,0,1688209,1754463,414629
2023,307695,1698197,3915,2559627,2711143,703868
2024,163557,522560,70756,2364674,2571737,1926706
