Year,CA per enrollee (dollars),NY per enrollee (dollars),TX per enrollee (dollars)
2018,2516,2862,838
2019,2660,4792,925
2020,2664,6264,1607
2021,2864,6570,4382
2022,2802,7121,4620
2023,3262,7484,4787
2024,3239,7379,5464
