State,Provider,NPI,Specialty,Year,Prior year paid (dollars),Paid (dollars),Growth multiple
NY,"VISITING NURSING ASSOCIATION OF WESTERN NEW YORK, INC.",1730268384,Home Health Agency,2019,239112,6114833,25.6
NY,CENTREK TRANSPORTATION LLC,1669030615,Non-emergency Medical Transport (VAN),2020,477289,11993893,25.1
CA,PERMANENTE MEDICAL GROUP INC,1073606299,Anesthesiology Physician,2024,281343,6784931,24.1
NY,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1356406136,Internal Medicine Physician,2019,128229,3086532,24.1
NY,NIAGARA FALLS MEMORIAL MEDICAL CENTER,1285717298,Case Management Agency,2019,281185,6710767,23.9
CA,"POST ACUTE CARE PARTNERS, INC",1265100176,In Home Supportive Care Agency,2023,136762,3138568,22.9
CA,VIA CARE COMMUNITY HEALTH CENTER,1962098640,Case Manager/Care Coordinator,2024,347303,7961701,22.9
NY,FOUR SEASON MEDICAL PLLC,1447785316,Specialist,2022,170856,3911779,22.9
CA,SERENITY CARE HEALTH GROUP,1245623156,Chiropractor,2024,191404,4381157,22.9
NY,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1023024882,Internal Medicine Physician,2019,149212,3390774,22.7
NY,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC.,1629087580,General Acute Care Hospital,2019,141038,3110794,22.1
CA,KINGS COUNTY BEHAVIORAL HEALTH,1750715801,Community/Behavioral Health Agency,2023,348599,7616803,21.8
CA,"EL PROYECTO DEL BARRIO, INC.",1154730828,Federally Qualified Health Center (FQHC),2020,698390,15235490,21.8
CA,ILLUMINATION HEALTH AND HOME,1013256213,Case Manager/Care Coordinator,2022,169400,3675703,21.7
NY,"SUFFOLK PRIMARY HEALTH, LLC",1174965727,Multi-Specialty Clinic/Center,2022,209756,4521493,21.6
NY,INTEGRATED DIAGNOSTIC IMAGING & CARDIOLOGY OF STATEN ISLAND P.C.,1174537948,Cardiovascular Disease Physician,2021,160068,3376128,21.1
NY,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1063426377,Internal Medicine Physician,2019,427847,8725129,20.4
CA,COMMUNITY HEALTH CENTERS OF THE CENTRAL COAST INC,1003462102,Federally Qualified Health Center (FQHC),2021,290584,5781531,19.9
NY,"COMMUNITY HEALTHCARE NETWORK, INC",1952518078,Case Management Agency,2019,291342,5724519,19.6
TX,"CENTURY INTEGRATED PARTNERS, INC",1447615711,Emergency Medicine Physician,2021,250877,4879802,19.5
CA,COMMUNITY MEDICAL CENTERS INC,1700373008,Federally Qualified Health Center (FQHC),2019,170056,3286859,19.3
TX,METHODIST HEALTH CENTERS,1871619254,Ambulatory Surgical Clinic/Center,2021,201813,3899810,19.3
NY,QUEENS COORDINATED CARE PARTNERS,1215292305,Case Management Agency,2019,314274,6030554,19.2
CA,NURTURING CARE LLC,1376229872,Counselor,2024,183721,3500118,19.1
NY,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1013924372,Internal Medicine Physician,2019,280443,5291178,18.9
NY,NEW YORK PSYCHOTHERAPY AND COUNSELING CENTER,1902811342,Community/Behavioral Health Agency,2019,774042,14501664,18.7
CA,PERMANENTE MEDICAL GROUP INC,1235226531,Anesthesiology Physician,2024,1579698,29586010,18.7
NY,"AMERICARE CERTIFIED SPECIAL SERVICES, INC.",1770513145,Home Health Agency,2024,3304481,61377398,18.6
CA,"CHERISH HOSPICE, INC.",1104451228,Community Based Hospice Care Agency,2024,245507,4542211,18.5
NY,BETH ISRAEL MEDICAL CENTER,1174689665,Psychiatric Hospital Unit,2019,1161612,21392199,18.4
NY,MOUNT SINAI HOSPITAL,1245248939,General Acute Care Hospital,2019,288613,5305431,18.4
CA,KAISER FOUNDATION HOSPITALS,1295880912,General Acute Care Hospital,2019,229666,4176322,18.2
CA,GOLDEN STAR LABS LLC,1265182984,Clinical Medical Laboratory,2023,491589,8923218,18.2
CA,ANAND NARAYAN MD INC,1477177210,Rural Health Clinic/Center,2022,220579,3992898,18.1
CA,WILMINGTON URGENT CARE AND FAMILY CLINIC INC,1972863611,Urgent Care Clinic/Center,2022,215936,3894432,18.0
CA,UNITED HEALTH CENTERS OF THE SAN JOAQUIN VALLEY,1780220822,Case Manager/Care Coordinator,2021,252471,4541964,18.0
NY,ALBANY MEDICAL COLLEGE,1497921688,Clinical Social Worker,2024,290691,5164680,17.8
NY,ROCHESTER GENERAL HOSPITAL-LAB,1477746063,Clinical Medical Laboratory,2021,534924,9460563,17.7
TX,"AOC TX, LLC",1952346876,Case Management Agency,2020,1631416,28783313,17.6
NY,BRAVERHOOD,1619166741,Developmentally Disabled Services Day Training Agency,2022,2893994,49507361,17.1
NY,L&G ENTERPRISES USA LLC,1366033318,Home Health Agency,2022,200066,3398696,17.0
TX,"PYRA MED HEALTH SERVICES, LLC",1740316561,Home Health Agency,2020,216144,3654833,16.9
TX,"TOTS IN TOW, LLC",1700286580,Home Health Agency,2023,383681,6469110,16.9
NY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,1699289488,Emergency Medicine Physician,2019,486855,8054018,16.5
CA,SD HEALTHCARE CONSULTING LLC,1083349781,In Home Supportive Care Agency,2024,528479,8723925,16.5
NY,"SOUTHWEST BROOKLYN HEALTH HOME, LLC",1023354933,Case Management Agency,2019,439281,7223033,16.4
NY,MARY M. GOOLEY HEMOPHILIA CENTER INC,1568428621,Clinic/Center,2021,360637,5910413,16.4
CA,VALLEY HEALTHCARE CENTERS,1790221703,Rural Health Clinic/Center,2019,223498,3653636,16.3
CA,KAISER FOUNDATION HOSPITALS,1083784672,General Acute Care Hospital,2024,376839,6147205,16.3
CA,SOCIALLY ORIENTED UNITED LIVING INC.,1356073902,Respite Care,2023,735624,11753722,16.0
CA,KAISER FOUNDATION HOSPITALS,1477608271,General Acute Care Hospital,2019,692633,10816697,15.6
NY,HAPPY LIFE HOME HEALTH AGENCY INC,1538505623,Home Health Agency,2020,201231,3118919,15.5
NY,"COORDINATED BEHAVIORAL CARE, INC",1730451071,Case Management Agency,2019,1275531,19679783,15.4
CA,ELICA HEALTH CENTERS,1366051120,Case Manager/Care Coordinator,2022,320287,4927095,15.4
CA,DAVID DESAI MD INC,1174901128,Psychiatry Physician,2022,222184,3406721,15.3
CA,"SPECTRA CLINICAL LABORATORIES, INC",1679686646,Clinical Medical Laboratory,2022,380146,5771116,15.2
TX,OCI ACQUISITION LLC,1326297441,Home Health Agency,2021,323750,4863239,15.0
TX,ECTOR COUNTY HOSPITAL DISTRICT,1740273994,General Acute Care Hospital,2021,213662,3178265,14.9
NY,"ODYSSEY HOUSE, INC",1013976976,Substance Use Disorder Rehabilitation Clinic/Center,2023,614369,9067413,14.8
CA,ILLUMINATION HEALTH AND HOME,1073863056,Case Management Agency,2022,412411,6075988,14.7
NY,OSWEGO HOSPITAL,1871678458,General Acute Care Hospital,2019,211739,3101535,14.6
TX,MCALLEN HOSPITALS L P,1770573586,Ambulatory Surgical Clinic/Center,2020,276785,4026121,14.5
CA,HEALTH TALENT STRATEGIES,1952945628,In Home Supportive Care Agency,2021,2691247,39002135,14.5
NY,THE COLLABORATIVE FOR CHILDREN AND FAMILIES,1417349622,Case Manager/Care Coordinator,2019,633738,9091713,14.3
NY,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1427063270,Internal Medicine Physician,2019,605282,8676733,14.3
CA,HEROCARE LLC,1326607011,Durable Medical Equipment & Medical Supplies,2022,396447,5681390,14.3
CA,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,1689606196,Health Maintenance Organization,2024,1587962,22666582,14.3
CA,USA BIOSCIENCES LLC,1548771736,Clinical Medical Laboratory,2024,1136543,16030288,14.1
TX,HILLCREST BAPTIST MEDICAL CENTER,1891882833,General Acute Care Hospital,2021,236917,3308873,14.0
NY,ERIE COUNTY MEDICAL CENTER CORPORATION,1437197985,End-Stage Renal Disease (ESRD) Treatment Clinic/Center,2019,449243,6267243,14.0
NY,"AGINCARE HOMECARE SERVICES, INC.",1407370117,Home Health Agency,2019,291341,4051403,13.9
NY,"PRIME HOME HEALTH SERVICES, LLC",1841491412,Home Health Agency,2023,345562,4804238,13.9
NY,KALEIDA HEALTH,1245365196,General Acute Care Hospital,2019,235487,3262577,13.9
NY,FAMILY RESPITE HOMECARE AGENCY INC.,1548726284,Home Health Agency,2021,224744,3098125,13.8
CA,"EXPERT ABA CONSULTING, LLC",1235650516,Behavior Analyst,2019,290055,3991840,13.8
CA,"TRINITY ADHC, INC.",1003463993,Adult Day Care Clinic/Center,2021,266924,3670918,13.8
CA,KAISER FOUNDATION HOSPITALS,1376698043,General Acute Care Hospital,2019,666891,9047095,13.6
TX,ST PATRICK INC,1487890125,Home Health Agency,2024,239388,3246434,13.6
TX,SEGNIK GROUP INC,1124012877,Home Health Agency,2021,1290903,17456084,13.5
CA,KAISER FOUNDATION HOSPITALS,1518012301,General Acute Care Hospital,2019,897300,12089984,13.5
TX,ST DAVIDS HEALTHCARE PARTNERSHIP LP LLP,1629021845,General Acute Care Hospital,2021,248328,3341854,13.5
NY,FAMILY RESIDENCIES & ESSENTIAL ENTERPRISES,1134317498,Intellectual and/or Developmental Disabilities Community Based Residential Treatment Facility,2021,528063,7019628,13.3
NY,ROYAL COMMUNITY SUPPORT LLC,1265961668,Developmentally Disabled Services Day Training Agency,2019,313009,4132078,13.2
NY,"HOUSING WORKS SERVICES II, INC",1518529452,Adult Day Care Clinic/Center,2020,316045,4163627,13.2
NY,COMMUNITY CARE MANAGEMENT PARTNERS LLC (CCMP),1366780850,Case Management Agency,2019,1109187,14610602,13.2
NY,"ROLLIN, MICHAEL",1144310087,Nurse Practitioner,2022,323145,4242694,13.1
NY,"LOVE TO CARE HOME CARE, INC.",1033628110,In Home Supportive Care Agency,2024,323375,4239551,13.1
CA,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,1396287082,Clinical Medical Laboratory,2020,276851,3629584,13.1
CA,SOUTHERN CALIFORNIA PERMANENTE MEDICAL GROUP,1891873303,Clinical Medical Laboratory,2020,435080,5657471,13.0
TX,ASCENSION SETON,1447355771,Ambulatory Surgical Clinic/Center,2021,474969,6170231,13.0
NY,THE BROOKDALE HOSPITAL MEDICAL CENTER,1487724712,General Acute Care Hospital,2019,244141,3169369,13.0
NY,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1679587679,Internal Medicine Physician,2019,931115,11986869,12.9
NY,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1467469023,Internal Medicine Physician,2019,568458,7311090,12.9
TX,DALLAS COUNTY HOSPITAL DISTRICT,1932123247,Ambulatory Surgical Clinic/Center,2020,610846,7781428,12.7
TX,TENET HOSPITALS LIMITED,1972709970,General Acute Care Hospital,2021,319581,4066123,12.7
NY,ACCESS: SUPPORTS FOR LIVING INC,1215122361,Community/Behavioral Health Agency,2019,284088,3607622,12.7
CA,"CAMPOS ESPINOZA, DOMITILO",1578215836,Non-emergency Medical Transport (VAN),2024,803722,10176429,12.7
NY,"NORTH COUNTRY TRANSITIONAL LIVING SERVICES, INC",1538294699,Mental Illness Community Based Residential Treatment Facility,2019,250166,3132052,12.5
TX,MIDLAND COUNTY HOSPITAL DISTRICT,1255325817,General Acute Care Hospital,2021,267217,3328166,12.5
CA,BEVERLY RADIOLOGY MEDICAL GROUP III,1649599085,Diagnostic Radiology Physician,2019,542403,6745554,12.4
NY,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1801803903,Internal Medicine Physician,2019,568287,7065433,12.4
CA,NATIVE AMERICAN MENTAL HEALTH SERVICES CORPORATION,1073919171,Psychiatry Physician,2022,513976,6378941,12.4
