Year,NY total 68040 paid (dollars),EyePic entities 68040 paid (dollars),EyePic share (percent)
2018,259268,185162,71.4
2019,267892,165398,61.7
2020,505760,421249,83.3
2021,527237,444032,84.2
2022,553478,533886,96.5
2023,806598,772272,95.7
2024,748530,725809,97.0
