borough,members_hispanic_latino_pct,population_hispanic_latino_pct,gap_points
Bronx,20.6,56.4,35.8
Queens,9.2,28.1,18.9
Staten Island,1.8,18.7,16.9
Manhattan,11.1,26.4,15.3
Brooklyn,6.8,18.8,12.0
