fiscal_year,community_boards_total,mayoralty_total,citywide_total
2017,17077804,122141484,80296565102
2018,17775534,138094635,83879635413
2019,17580896,137159809,87054158972
2020,20362248,140125012,90983432121
2021,21564100,168373357,94591739056
2022,19007496,154989587,90034246690
2023,19947324,162728426,100614856236
2024,19840990,207187868,103097504046
2025,20772518,182426881,109104788703
2026,21927068,178191710,114384991832
2027,22273301,196146351,117791473676
