year,cfr_total_pages
1950,9745
1955,17989
1960,22877
1965,34783
1970,54834
1975,71224
1980,102195
1985,105935
1990,126893
1995,138186
2000,138049
2005,151973
2010,165494
2015,178351
2020,186644
2024,194395
