file_number,description,net_fiscal_impact_dollars
Int. No. 894-A,Income and work requirements for rental assistance (CityFHEPS),-4126000000
Intro. No. 1557-A,Five-year plans for City streets sidewalks and pedestrian spaces (Streets Plan),-1741247630
S.4667-A / A.5843-A,Service retirement benefits for uniformed sanitation members,-802200000
S.4706-A / A.5548-A,Service retirement benefits for uniformed correction members,-617100000
Int. No. T2026-1338,Expansion of pedestrian space,-512500000
Int. No. 692,Workforce stabilization payments for school paraprofessionals,-243900000
S.9130 / A.10248,Restoration of 20-year service retirement for corrections and sanitation,-232700000
