Agency,Resolutions
SLA (State Liquor Authority),2285
DOT (Dept of Transportation),440
NYPD,368
NYC Council,207
NYC Parks,128
Borough President,107
DOB (Dept of Buildings),93
DCP (Dept of City Planning),84
HPD (Housing Preservation & Development),66
Mayor's Office,61
EDC (Economic Development Corp),60
MTA,56
LPC (Landmarks Preservation),45
DEP (Dept of Environmental Protection),31
FDNY,25
