Topic,Resolutions
Liquor License / SLA,3449
Transportation & Streets,520
Parks & Open Space,374
Housing & Zoning,369
Public Safety,292
Environment & Waterfront,237
City Planning,154
Budget & Funding,94
Landmarks & Historic Preservation,84
Education & Schools,79
