Year,Average_Daily_Population,Borough_Jail_Capacity,Notes
2019,5398,3300,Pre-COVID (approximate)
2020,3909,3300,COVID-era releases (approximate)
2021,4872,3300,Post-COVID rise (approximate)
2022,5504,3300,Continued rise (approximate)
2023,5927,3300,Continued rise (approximate)
2024,6307,3300,Confirmed - The City May 2024
2025,7067,3300,Confirmed - The City March 2025
