Category,Total Savings,FY26 Savings,FY27 Savings,Agencies Included
Eligibility audits & verification,113000000,0,113000000,"OLR ($100M — remove ineligible health plan dependents); DOF ($13M — co-op abatement eligibility)"
Contract termination & spending controls,70517000,28800000,41717000,"NYCPS ($57.8M — terminate underutilized contracts + spending caps); DSS ($12.7M — terminate McKinsey contract + IT in-sourcing); TLC ($20K — cancel Slack subscription)"
Contract renegotiation,43450000,15400000,28050000,"H+H ($39.8M — contract rebates + staffing optimization); OTI ($2.5M — renegotiate tech contracts); DOHMH ($1.15M — renegotiate naloxone contract)"
Revenue & billing improvements,13000000,700000,12300000,FDNY ($13M — Medicaid billing for Treat No Transport + vendor contract renegotiation)
In-housing & operational efficiency,6154000,4700000,1454000,"DOC ($4.3M); EDC ($626K); MONS ($400K); NYC Aging ($411K); NYCEM ($133K); DSNY ($194K); OMB ($90K)"
